city,country,temperature,feels_like,humidity,pressure,weather,description,wind_speed,timestamp
Mumbai,IN,26.73,29.47,84,1007,Clouds,overcast clouds,4.94,1756915336
Delhi,IN,26.53,26.53,86,1005,Clouds,overcast clouds,2.21,1756915235
Bengaluru,IN,20.53,21.09,94,1011,Clouds,broken clouds,4.99,1756915279
Hyderabad,IN,23.75,24.32,82,1007,Clouds,overcast clouds,2.54,1756915122
Chennai,IN,29.07,32.69,69,1006,Clouds,overcast clouds,5.08,1756915090
Kolkata,IN,26.57,26.57,88,1005,Clouds,broken clouds,3.25,1756915370
Pune,IN,22.09,22.7,90,1008,Clouds,overcast clouds,3.28,1756915200
Ahmedabad,IN,29.02,31.71,64,1004,Clouds,overcast clouds,3.18,1756914969
Jaipur,IN,25.61,26.47,86,1005,Clouds,overcast clouds,2.6,1756915517
Lucknow,IN,28.32,33.63,84,1004,Clouds,scattered clouds,3.12,1756915556
Kanpur,IN,28.09,32.01,78,1004,Clouds,few clouds,3.04,1756915432
Nagpur,IN,23.34,24.08,90,1004,Clouds,overcast clouds,3.19,1756915508
Indore,IN,22.36,23.13,95,1006,Rain,light rain,4.65,1756915536
Bhopal,IN,23.62,24.49,94,1004,Rain,light rain,2.49,1756915627
Visakhapatnam,IN,28.45,35.45,96,1002,Clouds,overcast clouds,0.37,1756915628
Patna,IN,30.86,35.04,62,1004,Clouds,few clouds,4.34,1756915057
Vadodara,IN,28.08,30.96,71,1004,Clouds,overcast clouds,3.48,1756915600
Ghaziabad,IN,25.51,26.49,91,1005,Clouds,overcast clouds,2.62,1756915406
Ludhiana,IN,24.36,25.23,91,1005,Clear,clear sky,1.16,1756915519
Agra,IN,27.35,30.88,83,1004,Clouds,overcast clouds,2.89,1756915074
Nashik,IN,22.02,22.68,92,1007,Clouds,overcast clouds,3.68,1756915364
Faridabad,IN,26.07,26.07,92,1005,Clouds,overcast clouds,2.55,1756915630
Meerut,IN,25.58,26.36,83,1005,Clouds,overcast clouds,2.14,1756915562
Rajkot,IN,27.34,29.75,73,1006,Clouds,broken clouds,4.63,1756915370
London,GB,19.34,19.37,78,996,Clouds,broken clouds,6.82,1756915185
Paris,FR,23.7,23.64,58,1005,Rain,moderate rain,7.57,1756915306
Berlin,DE,23.94,23.93,59,1011,Clouds,broken clouds,4.2,1756915632
Madrid,ES,29.97,28.28,22,1012,Clear,clear sky,4.84,1756915158
Rome,US,25.36,25.62,64,1015,Clear,clear sky,1.39,1756915632
Amsterdam,NL,21.64,21.87,77,1001,Clouds,broken clouds,9.16,1756915146
Vienna,AT,25.93,25.75,45,1014,Clear,clear sky,1.2,1756915584
Stockholm,SE,19.47,19.33,71,1010,Clouds,few clouds,4.18,1756915615
Copenhagen,DK,21.17,21.22,72,1008,Clouds,broken clouds,6.81,1756915445
Helsinki,FI,17.67,17.92,93,1012,Rain,moderate rain,3.0,1756915578
Oslo,NO,18.61,18.38,71,1006,Clouds,overcast clouds,3.27,1756915491
Zurich,CH,24.72,24.63,53,1013,Clear,clear sky,0.68,1756915635
Brussels,BE,22.47,22.52,67,1003,Clouds,overcast clouds,8.98,1756915125
Dublin,US,16.89,16.72,80,1015,Clouds,scattered clouds,1.44,1756915340
Lisbon,PT,25.41,25.57,60,1017,Clouds,scattered clouds,6.36,1756915558
Prague,CZ,23.91,23.53,45,1014,Clouds,few clouds,2.93,1756915173
Budapest,HU,26.75,27.47,55,1013,Clouds,broken clouds,2.72,1756915636
Warsaw,PL,19.8,19.85,77,1015,Clouds,broken clouds,0.93,1756915125
Donji grad,HR,24.62,24.68,59,1014,Clouds,scattered clouds,1.62,1756915637
Athens,GR,32.0,30.82,30,1009,Clouds,broken clouds,6.48,1756915637
Istanbul,TR,28.07,31.96,78,1011,Clear,clear sky,6.46,1756915637
Moscow,RU,17.12,16.56,64,1017,Clouds,few clouds,3.18,1756915366
Kyiv,UA,23.91,23.51,44,1015,Clear,clear sky,2.32,1756915346
Minsk,BY,22.2,22.04,60,1016,Clear,clear sky,2.13,1756915639
Bucharest,RO,32.25,30.98,29,1010,Clear,clear sky,2.82,1756915640
Sofia,BG,29.28,28.11,30,1009,Clouds,scattered clouds,4.14,1756915443
Belgrade,RS,27.93,29.57,62,1012,Rain,very heavy rain,4.56,1756915392
Sarajevo,BA,19.68,19.77,79,1016,Clouds,overcast clouds,1.35,1756915641
Skopje,MK,21.81,21.85,69,1013,Rain,moderate rain,2.66,1756915415
Tirana,AL,25.75,26.29,73,1013,Clouds,overcast clouds,2.19,1756915641
